id,title,artist,genre
94,Humoresque,David Garrett,古典
95,"Piano Concerto No. 23 in A Major, K. 488:II. Adagio",Vladimir Horowitz/Orchestra del Teatro alla Scala di Milano/Carlo Maria Giulini,古典
96,"Swan Lake (Suite), Op. 20a, TH. 219:I. Scene - Swan Theme",Berliner Philharmoniker/Leon Spierer/Eberhard Finke/Mstislav Rostropovich,古典
97,"Waltz No.10 in B Minor, Op.69 No.2",Claudio Arrau,古典
98,She Was Running,Max Richter,古典
99,"Les saisons (The Seasons), Op. 37b:No. 6. June: Barcarolle",Ilona Prunyi,古典
100,月光曲 贝多芬（第一乐章）,离羽墨,古典
101,Pathetique III,Cuba Percussion,古典
102,"Voices of Spring, Op.410 (Frühlingsstimmen) - vocal version",Kathleen Battle/Wiener Philharmoniker/Herbert von Karajan,古典
103,"Nocturne No. 13 in C Minor, Op. 48, No. 1",Arthur Rubinstein,古典
104,A Gift of a Thistle (from Braveheart),Catrin Finch/Erdo Groot/Julian Lloyd Webber/Pam Chowhan/Steafan Hannigan/Stefan Hannigan,古典
105,"Schwanengesang, D.957:Ständchen",Arthur Grumiaux,古典
106,"The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"":I. Allegro non molto",Anne-Sophie Mutter/Herbert von Karajan/Peter Alward/Wiener Philharmoniker,古典
107,3 Old Viennese Dances:II. Liebesleid,Yo-Yo Ma/Patricia Zander,古典
108,德彪西: 月光,贵族音乐古典,古典
109,"Nocturne No. 19 in E Minor, Op. 72, No. 1",Arthur Rubinstein,古典
110,Clair de Lune (from Suite Bergamasque),Kun Woo Paik,古典
111,"Beethoven's Piano Sonata No. 8, Pathetique",上原ひろみ/Anthony Jackson/Simon Phillips,古典
112,"An der schönen blauen Donau, Op.314",Wiener Philharmoniker/Herbert von Karajan,古典
113,Whispers,Max Richter,古典
114,"Concerto in D Minor (After Alessandro Marcello), BWV 974: II. Adagio",Alexandra Streliski/Johann Sebastian Bach,古典
115,España Cani,André Rieu,古典
116,"Ballade No.1 In G Minor, Op.23",Krystian Zimerman,古典
117,Passacaille,Bronn Journey,古典
118,a小调圆舞曲(Off Vocal),ACK/Frédéric François Chopin,古典
119,维瓦尔第《四季》 “冬” 第一乐章 -   I. Allegro non molto,天之籁音乐,古典
120,"13 Pieces for Piano, Op. 76:II. Etude",王健/Göran Söllscher,古典
121,"Violin Concerto No.2 In B Minor, Op.7, MS.48:3. Rondo à la clochette, 'La campanella'",Charles Dutoit/London Philharmonic Orchestra/Salvatore Accardo,古典
122,"Nocturne No. 10 in A Flat Major, Op. 32, No. 2",Arthur Rubinstein,古典
123,Gyménopédie N°1,Ophélie Gaillard/Royal Philharmonic Orchestra/Tim Redmond,古典
124,"Piano Concerto No.2 In C Minor, Op.18:1. Moderato",Sviatoslav Richter/Stanislaw Wislocki/Warsaw National Philharmonic Orchestra,古典
125,"La campanella in G-Sharp Minor (From ""Grandes études de Paganini"", S. 141 / 3)",郎朗/Franz Liszt,古典
126,Canon in D,Brooklyn Duo,古典
127,"Suite No.3 in D, BWV 1068:2. Air",Johann Sebastian Bach,古典
128,Carmen:Act I: L'amour est un oiseau rebelle,Raoul Jobin/Martha Angelici/Michel Dens/Solange Michel/Paris Opera-Comique Chorus/Paris Opera-Comique Orchestra/André Cluytens,古典
129,"Nocturne No. 15 in F Minor, Op. 55, No. 1",Arthur Rubinstein,古典
130,"Sicilienne, Op. 78",Erdo Groot/John Lenehan/Julian Lloyd Webber,古典
131,Skaters' Waltz,André Rieu,古典
132,"Orchestral Suite No. 3 in D Major, BWV 1068:II. Air",马友友/Bobby McFerrin,古典
133,Lacrimosa,Vienna Mozart Orchestra,古典
134,莫扎特 土耳其进行曲,Wendy Anderson,古典
135,Soleá Canon,Carlos Gomez/Gustavo Montesano/Gustavo Montesanos Gonzales/Royal Philharmonic Orchestra,古典
136,"The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"":I. Allegro",Anne-Sophie Mutter/Herbert von Karajan/Peter Alward/Wiener Philharmoniker,古典
137,Overture (William Tell),André Rieu,古典
138,"Hungarian Dance No.5 in G Minor, WoO 1 No.5 - Orchestrated by Martin Schmeling (?-1943) - Hungarian Dance No.5 In G Minor, WoO 1",Wiener Philharmoniker/Claudio Abbado,古典
139,Three Worlds: Music From Woolf Works / Mrs Dalloway:Meeting Again,Max Richter/Louisa Fuller/Natalia Bonner/John Metcalfe/Ian Burdge/Chris Worsey,古典
140,g小调的巴赫（大提琴&钢琴）,倪椤,古典
141,Carmen Suite No. 2:Chanson du Toréador: Allegro moderato** (Act II),Leonard Bernstein/New York Philharmonic Orchestra/David Nadien/Georges Bizet/William Vacchiano,古典
142,Hungarian Dance No.5 in G Minor,Martynas,古典
143,Nessun Dorma,Luciano Pavarotti/Zubin Mehta/Orchestra of the Rome Opera House/Orchestra del Maggio Musicale Fiorentino,古典
144,Moonlight Sonata,Marcin,古典
145,圣桑: 天鹅,Noble Music Project,古典
146,"The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"":III. Presto",Anne-Sophie Mutter/Herbert von Karajan/Peter Alward/Wiener Philharmoniker,古典
147,"Prelude & Fugue No. 1 in C Major, BWV 846:Prelude",Glenn Gould,古典
148,"The Seasons, Op.37b:6. June: Barcarolle",Vladimir Ashkenazy,古典
149,舒曼: 《童年情景》梦幻曲,Piano lullaby classic (클래식 기타의 향기),古典
150,"Piano Concerto No.1 In b Flat Minor Op.23 TH.55:1. Allegro non troppo e molto maestoso - Allegro con spirito (Live At Philharmonie, Berlin / 1994)",Martha Argerich/Berliner Philharmoniker/Claudio Abbado,古典
151,MONTAGEM XONADA,MXZI/DJ Samir/DJ Javi26,电音
152,弥渡山歌 (PHONK),羊音乐,电音
153,盐津-她遇见我-Yanjin-She Met Me,Sister Gertha Lemone,电音
154,Montagem Nada,Lunak,电音
155,Electronic ibuprofen,MerrinZephyr,电音
156,The King（Music）,Paper.MAN,电音
157,MONTAGEM XONADA (FUNK NA FAVELA),7YE,电音
158,PRESSURE(PHONK),GTR7,电音
159,Time Is Broken,36KToughGuy,电音
160,Moonwalk（Sped Version）,KKK,电音
161,Scar Face（PHONK）,KKK,电音
